股票id	股票名	价格	涨跌幅(%)	换手率(%)	市盈率	市净率	行业板块	社保基金	社保基金数	公告日期	送股	转股	派息	除权日	登记日
600237	铜峰电子	6.30	-0.94	1.59	47.27	2.85	被动元件	[]	0	2023-03-14	0	0	0	--	--
600238	海南椰岛	12.63	+3.69	4.20	--	15.68	其他酒类	[]	0	2023-04-29	0	0	0	--	--
600239	ST云城	2.28	+0.44	1.24	--	2.26	房地产开发	[]	0	2023-04-25	0	0	0	--	--
600241	ST时万	8.82	-1.34	0.43	65.73	2.39	储能设备	[]	0	2023-04-10	0	0	0	--	--
600242	*ST中昌			0.00	--	--	营销服务	[]	0	2023-04-29	0	0	0	--	--
600243	青海华鼎	4.10	-1.20	0.72	--	2.05	机械设备	[]	0	2023-03-28	0	0	0	--	--
600246	万通发展	5.73	+6.11	1.45	--	1.96	房地产开发	[]	0	2023-04-29	0	0	0	--	--
600248	陕西建工	7.03	+10.02	13.81	7.19	1.34	化学工程	[]	0	2023-04-28	0	0	1	--	--
600249	两面针	5.19	+0.58	1.51	--	1.36	日用化学产品	[]	0	2023-03-31	0	0	0	--	--
600252	中恒集团	2.64	-0.38	0.60	--	1.41	中药	[]	0	2023-03-29	0	0	0.1	--	--
600255	鑫科材料	2.25	-0.88	0.51	54.04	2.90	铜	[]	0	2023-03-11	0	0	0	--	--
600256	广汇能源	9.08	-2.05	1.15	4.91	1.87	石油加工	['全国社保基金一一零组合', '全国社保基金五零三组合']	2	2023-04-14	0	0	8	--	--
600257	大湖股份	4.86	-0.82	1.73	--	2.69	水产养殖	[]	0	2023-04-26	0	0	0	--	--
600258	首旅酒店	20.85	-1.04	1.03	--	2.21	休闲服务	['全国社保基金一一零组合', '全国社保基金四一一组合', '全国社保基金六零一组合']	3	2023-03-31	0	0	0	--	--
600259	广晟有色	36.63	+0.16	1.13	78.73	3.58	稀土	[]	0	2023-03-31	0	0	0	--	--
600261	阳光照明	3.52	+0.28	0.61	20.85	1.37	电子	[]	0	2023-04-22	0	0	1.3	--	--
600262	北方股份	19.98	+6.11	6.24	30.70	2.42	冶金矿采化工设备	[]	0	2023-04-25	0	0	2.1	--	--
600265	ST景谷	15.60	-1.58	0.20	--	13.26	林业	[]	0	2023-04-28	0	0	0	--	--
600266	城建发展	4.77	+3.02	1.90	71.89	0.53	房地产开发	[]	0	2023-03-28	0	0	1	--	--
600267	海正药业	12.72	-2.60	3.15	25.61	1.90	化学原料药	[]	0	2023-03-31	0	0	1.7	--	--
600268	国电南自	7.88	-1.75	0.90	29.69	2.02	电网自动化	[]	0	2023-03-31	0	2	0.7	--	--
600269	赣粤高速	3.94	+0.77	2.40	11.69	0.53	高速公路	[]	0	2023-03-21	0	0	1	--	--
600271	航天信息	14.31	-0.76	1.30	20.97	1.84	IT服务	[]	0	2023-03-31	0	0	1.75	--	--
600272	开开实业	9.43	+0.21	1.26	55.48	3.96	医药商业	[]	0	2023-03-30	0	0	0.5	--	--
600273	嘉化能源	10.10	+1.00	1.43	10.12	1.39	其他化学制品	[]	0	2023-03-31	0	0	5	--	--
600276	恒瑞医药	47.47	-3.65	0.66	77.48	7.79	化学制剂	[]	0	2023-04-22	0	0	1.6	--	--
600277	亿利洁能	3.94	-2.96	1.04	23.19	0.82	氯碱	[]	0	2023-04-29	0	0	0.23	--	--
600278	东方创业	7.21	+0.70	0.57	17.47	0.89	贸易	[]	0	2023-04-29	0	0	1.26	--	--
600279	重庆港	4.51	+0.45	1.76	38.92	0.94	港口	[]	0	2023-03-25	0	0	0.4	--	--
600280	中央商场	4.32	-1.14	2.87	--	5.46	百货	[]	0	2023-04-28	0	0	0	--	--
600281	华阳新材	4.26	+0.24	0.42	--	5.27	综合	[]	0	2023-04-29	0	0	0	--	--
